omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-0.42,0.1849428593287296,-0.08839464535887938,-0.788178153872536,0.016625343987497758,-0.788178153872536,0.016625343987497758,-0.7307892339434618,-0.41785156938304235
-0.41,0.17363625196415844,-0.09067716256498931,-0.7902676883302809,0.007134595923566702,-0.7902676883302809,0.007134595923566702,-0.7546067057253448,-0.43773334982092615
-0.4,0.1626097616279636,-0.0935104983138406,-0.7923045114788575,-0.003318922234884062,-0.7923045114788575,-0.003318922234884062,-0.7785517779644626,-0.45921844643862475
-0.39,0.15192333079455828,-0.09688606615168281,-0.794196508775656,-0.014765803060322139,-0.794196508775656,-0.014765803060322139,-0.8025997324775758,-0.48247440708582634
-0.38,0.14162300300049535,-0.10079590569896069,-0.7958456304720576,-0.027257674798116412,-0.7958456304720576,-0.027257674798116412,-0.8266916530122764,-0.5077155137167002
-0.37,0.1317523742468671,-0.10524290933579086,-0.7971260721647245,-0.04086303770204139,-0.7971260721647245,-0.04086303770204139,-0.8507038618045977,-0.5351936337685054
-0.36,0.12236768784883878,-0.11024033494612871,-0.7978681462781269,-0.05565039337748567,-0.7978681462781269,-0.05565039337748567,-0.8744242174360135,-0.565172360659867
-0.35,0.11354925092299752,-0.11580121924853345,-0.7978536245296178,-0.07166434590686654,-0.7978536245296178,-0.07166434590686654,-0.8975432630225461,-0.5978912767533571
-0.34,0.10540417783208313,-0.12192230134361558,-0.7968238966645987,-0.08890206496724133,-0.7968238966645987,-0.08890206496724133,-0.9196622274031075,-0.6335299452718696
-0.33,0.0980593859524418,-0.12856863126396828,-0.7944981135840476,-0.1072963419330402,-0.7944981135840476,-0.1072963419330402,-0.9403139993265279,-0.6721794806362795
-0.32,0.0916474578455708,-0.13566396311691215,-0.7905961082321936,-0.12670838294442247,-0.7905961082321936,-0.12670838294442247,-0.9589904145162713,-0.7138247239965536
-0.31,0.08629000206841729,-0.14308920656354532,-0.7848608883227756,-0.14693006019991334,-0.7848608883227756,-0.14693006019991334,-0.9751705952153891,-0.758335332526098
-0.3,0.08208297770456516,-0.15068811426271103,-0.7770773155192232,-0.16769307112941184,-0.7770773155192232,-0.16769307112941184,-0.9883490788539329,-0.8054624529493073
-0.29,0.07908661434796851,-0.15827737126540586,-0.7670859021602657,-0.18868201278126256,-0.7670859021602657,-0.18868201278126256,-0.998065742955012,-0.8548399117820598
-0.28,0.07732023976693825,-0.16565794617901003,-0.7547921488153805,-0.2095493367456296,-0.7547921488153805,-0.2095493367456296,-1.0039391918714355,-0.9059929791781461
-0.27,0.07676069174992996,-0.17262565735675453,-0.7401719999684225,-0.2299313221893648,-0.7401719999684225,-0.2299313221893648,-1.005700971973151,-0.958360048235421
-0.26,0.07734260677626514,-0.17898048864284744,-0.7232734065523736,-0.24946452980551426,-0.7232734065523736,-0.24946452980551426,-1.003222487551318,-1.011330136180609
-0.25,0.07895954920446244,-0.18453535391089435,-0.7042138450580637,-0.2678016007503723,-0.7042138450580637,-0.2678016007503723,-0.9965241478433928,-1.064292113822993
-0.24,0.08146603391432208,-0.18912534305622639,-0.6831746640337331,-0.2846247952106601,-0.6831746640337331,-0.2846247952106601,-0.9857602195124235,-1.1166836233497721
-0.23,0.08468144224669692,-0.19261809715626435,-0.6603946829417051,-0.2996566649862003,-0.6603946829417051,-0.2996566649862003,-0.9711826445620888,-1.168024018044245
-0.22,0.08839742928401884,-0.19492514455813914,-0.6361657489190169,-0.3126700110099879,-0.6361657489190169,-0.3126700110099879,-0.9530982972010461,-1.2179201664185904
-0.21,0.09239065739709765,-0.19601288157621374,-0.6108302725522669,-0.3235022123758131,-0.6108302725522669,-0.3235022123758131,-0.9318403692286743,-1.2660463681213276
-0.2,0.0964423564131322,-0.19591032193577912,-0.5847752001336689,-0.33207920529291995,-0.5847752001336689,-0.33207920529291995,-0.9077706822194902,-1.3121150368518026
-0.19,0.10036472465748666,-0.19470893802928585,-0.5584111441592996,-0.3384493651396486,-0.5584111441592996,-0.3384493651396486,-0.8813149156396384,-1.3558654721922951
-0.18,0.10403096444953328,-0.1925487746566529,-0.5321240446617621,-0.34281740105215136,-0.5321240446617621,-0.34281740105215136,-0.8530116918490919,-1.397096748581842
-0.17,0.10740101808918905,-0.18958616613014098,-0.5061938874323969,-0.34555696513059664,-0.5061938874323969,-0.34555696513059664,-0.8235382183477982,-1.4357543120492482
-0.16,0.11053060796461119,-0.18594339254328984,-0.48069142065315723,-0.3471749273549252,-0.48069142065315723,-0.3471749273549252,-0.7936701168145497,-1.4720515159742227
-0.15,0.11355022487391268,-0.18164951571494478,-0.4553847300163373,-0.34820732902951923,-0.4553847300163373,-0.34820732902951923,-0.7641486307128158,-1.506577095708757
-0.14,0.11660654928445462,-0.17659167813120652,-0.4297027986073101,-0.3490499476834238,-0.4297027986073101,-0.3490499476834238,-0.7354646952355323,-1.5403222021496943
-0.13,0.11977229842248298,-0.17050183393054122,-0.40280082012369245,-0.3497600507131438,-0.40280082012369245,-0.3497600507131438,-0.7076159148385425,-1.5745702013449203
-0.12,0.12294789071680423,-0.16299929676616046,-0.37374500601176913,-0.34989607498911796,-0.37374500601176913,-0.34989607498911796,-0.6799290131500544,-1.6106346153899858
-0.11,0.12579129158427427,-0.15369234696949677,-0.3417877483321647,-0.3484702258475306,-0.3417877483321647,-0.3484702258475306,-0.6510437724395289,-1.6494951834504121
-0.1,0.1277117610748958,-0.14231715428826644,-0.3066559472911011,-0.34406290927826855,-0.3066559472911011,-0.34406290927826855,-0.6191119468766845,-1.6914423684590931
-0.09,0.1279448770813681,-0.12887076316308227,-0.26875165674242935,-0.3350913767564591,-0.26875165674242935,-0.3350913767564591,-0.5821853122934948,-1.7358637023802739
-0.08,0.12569559899844854,-0.11368936334284402,-0.2291830903531594,-0.3201607170290024,-0.2291830903531594,-0.3201607170290024,-0.5386836277401854,-1.781270493613471
-0.07,0.1203071158836857,-0.09743936330726392,-0.18960291033395296,-0.29838515987305875,-0.18960291033395296,-0.29838515987305875,-0.4877876565842167,-1.8255783538201285
-0.06,0.11140081369853178,-0.08102113104734747,-0.15190429012617646,-0.2695742862286237,-0.15190429012617646,-0.2695742862286237,-0.4296214885945018,-1.8665563056493046
-0.05,0.09894399508174144,-0.06541850013115415,-0.11787826876063313,-0.23423110184839546,-0.11787826876063313,-0.23423110184839546,-0.3651665799868921,-1.90229365120822
-0.04,0.08323153207852589,-0.051545232340477996,-0.08894351286569321,-0.19338173210659754,-0.08894351286569321,-0.19338173210659754,-0.29595090059806034,-1.931531630511559
-0.03,0.06480066716250381,-0.040134908737256836,-0.06602126987852522,-0.14831508867396664,-0.06602126987852522,-0.14831508867396664,-0.22363445051110423,-1.9537656930434963
-0.02,0.04431942670349244,-0.03169754089633783,-0.04956625242522066,-0.10033116919724785,-0.04956625242522066,-0.10033116919724785,-0.14963694169072259,-1.969113101955549
-0.01,0.02249091756803769,-0.026537139913740068,-0.0397082747316319,-0.05057655046541779,-0.0397082747316319,-0.05057655046541779,-0.07492271276968282,-1.9780204493621598
0.0,5.715790254663688e-7,-0.024802607164518656,-0.03643017888843539,-1.4927358834893336e-6,-0.03643017888843539,-1.4927358834893336e-6,7.160294307560474e-6,-1.980929320533361
0.01,-0.02248977786535403,-0.026536951254000404,-0.039708621273407414,0.05057348780178392,-0.039708621273407414,0.05057348780178392,0.0749371187311854,-1.9780188449328147
0.02,-0.04431829978077587,-0.031697151209668456,-0.0495669355385376,0.10032786872193046,-0.0495669355385376,0.10032786872193046,0.14965159004538495,-1.9691097698108795
0.03,-0.06479956998564475,-0.04013429352866627,-0.06602226326681791,0.1483113715839092,-0.06602226326681791,0.1483113715839092,0.22364945877488518,-1.9537603888524637
0.04,-0.08323049555867039,-0.051544356019343436,-0.0889447605661257,0.19337739147882732,-0.0889447605661257,0.19337739147882732,0.29596632277915164,-1.9315239882357051
0.05,-0.09894307173140741,-0.06541731886213713,-0.11787966419716661,0.23422589735839633,-0.11787966419716661,0.23422589735839633,0.3651823770267732,-1.9022831746232616
0.06,-0.11140008626274252,-0.08101959862120585,-0.15190564815686508,0.2695679473994881,-0.15190564815686508,0.2695679473994881,0.4296374803038197,-1.8665423549130822
0.07,-0.12030670600793582,-0.09743744089326777,-0.1896039352231691,0.29837740173002675,-0.1896039352231691,0.29837740173002675,0.48780344481124066,-1.8255601415602922
0.08,-0.1256956751900786,-0.11368703341146326,-0.22918334428482945,0.3201512697526756,-0.22918334428482945,0.3201512697526756,0.5386984926697023,-1.781247111346072
0.09,-0.12794566244602498,-0.12886804833346766,-0.2687505315290675,0.33508002779340745,-0.2687505315290675,0.33508002779340745,0.5821980964445816,-1.735834191408791
0.1,-0.1277135420485538,-0.14231414515985522,-0.3066526354323258,0.34404955790671804,-0.3066526354323258,0.34404955790671804,0.6191209391323759,-1.6914058348369383
0.11,-0.1257944249807471,-0.15368924915502927,-0.34178120510833554,0.348454963222822,-0.34178120510833554,0.348454963222822,0.6510465821357113,-1.649450957395158
0.12,-0.12295279311789922,-0.16299651114226715,-0.3737339075166663,0.34987932586440795,-0.3737339075166663,0.34987932586440795,0.6799224076020077,-1.6105824977474457
0.13,-0.11977938011476537,-0.17050007410951296,-0.40278356783804786,0.34974282586331296,-0.40278356783804786,0.34974282586331296,0.7075956387100055,-1.5745109143624918
0.14,-0.11661603837652107,-0.17659209387426733,-0.42967769099031905,0.34903422026575953,-0.42967769099031905,0.34903422026575953,0.7354254386748349,-1.5402581931403
0.15,-0.11356184262462564,-0.18165373316460132,-0.45535046524072487,0.3481964340121541,-0.45535046524072487,0.3481964340121541,0.7640845183675542,-1.506513710653936
0.16,-0.11054312800452863,-0.18595333181959736,-0.48064803129497935,0.3471737142447447,-0.48064803129497935,0.3471737142447447,0.7935761782644866,-1.4719982042445372
0.17,-0.1074118643726828,-0.18960350723003422,-0.5061439840215908,0.34557131390189194,-0.5061439840215908,0.34557131390189194,0.8234130490275927,-1.435725065658441
0.18,-0.10403611990506305,-0.19257405849865708,-0.5320739101319055,0.34285278668667485,-0.5320739101319055,0.34285278668667485,0.8528608427824431,-1.3971087499643084
0.19,-0.1003592436024375,-0.194740501505319,-0.5583709556950118,0.33850851390380404,-0.5583709556950118,0.33850851390380404,0.8811537036526883,-1.355935286602397
0.2,-0.09642162700765425,-0.1959434869778123,-0.5847576916974346,0.3321594414030874,-0.5847576916974346,0.3321594414030874,0.9076246258326879,-1.3122527251330491
0.21,-0.09235225656027768,-0.1960399153454304,-0.6108476150608071,0.3235935787231277,-0.6108476150608071,0.3235935787231277,0.9317418435264605,-1.2662492149555091
0.22,-0.08834306480374075,-0.19493638018536616,-0.6362252002920084,0.31275534265888677,-0.6362252002920084,0.31275534265888677,0.9530793375744903,-1.2181685713234167
0.23,-0.0846182492555124,-0.19260425546688845,-0.6604943105690929,0.299714335219643,-0.6604943105690929,0.299714335219643,0.9712655698847218,-1.1682818499189607
0.24,-0.08140650923381304,-0.18908063973481076,-0.6833007906101325,0.2846339584775485,-0.6833007906101325,0.2846339584775485,0.9859490021387604,-1.1169039469887956
0.25,-0.0789196902067056,-0.1844605752620943,-0.7043416122967858,0.2677487664891972,-0.7043416122967858,0.2677487664891972,0.9967995656750887,-1.0644272751971084
0.26,-0.07733830410180402,-0.17888500543176383,-0.7233710501963019,0.24934959067444462,-0.7233710501963019,0.24934959067444462,1.003543026239656,-1.0113436215488791
0.27,-0.07680300091102328,-0.17252739787716273,-0.7402083292776787,0.2297709721202293,-0.7402083292776787,0.2297709721202293,1.0060097515945277,-0.9582368956727616
0.28,-0.07741070345176654,-0.16558070934580146,-0.7547456191501499,0.20937622408191767,-0.7547456191501499,0.20937622408191767,1.0041755461004056,-0.9057458568499548
0.29,-0.07921416435072072,-0.1582455374750801,-0.7669528401345891,0.18853894284982167,-0.7669528401345891,0.18853894284982167,0.9981788755987345,-0.8545089740433927
0.3,-0.08222390362016911,-0.1507197209238181,-0.7768765790669965,0.16762296288766032,-0.7768765790669965,0.16762296288766032,0.9883105561733765,-0.8051084554111709
0.31,-0.08641185666525389,-0.14318924234963096,-0.7846327661940977,0.14696387460617585,-0.7846327661940977,0.14696387460617585,0.9749823640816564,-0.7580271003307076
0.32,-0.09171659188314607,-0.1358201998668407,-0.7903946619885724,0.12685438792990525,-0.7903946619885724,0.12685438792990525,0.958685769567012,-0.7136237427565818
