omega,spectrum
4.6,0.007367957062723602
4.6125,0.007114072348849739
4.625,0.006776437027653656
4.6375,0.006518669441407688
4.65,0.006426976240924435
4.6625,0.006454407628244271
4.675,0.006409781910383274
4.6875,0.006204136460444347
4.7,0.005961134899522747
4.7125,0.005804942725271475
4.725,0.005780378895688373
4.7375,0.005802814131815257
4.75,0.005706337918156713
4.7625,0.005487806829288251
4.775,0.005279867193236434
4.7875,0.005165292326429149
4.8,0.005152879234332026
4.8125,0.005140037741754659
4.825,0.005012477639686521
4.8375,0.004824582398979209
4.85,0.004685955679870521
4.8625,0.004646063241989003
4.875,0.004699128554260239
4.8875,0.004740184738691592
4.9,0.0046622031693560675
4.9125,0.004517969504945331
4.925,0.004409420769313454
4.9375,0.004386341505951446
4.95,0.004429793775252181
4.9625,0.004427818182290364
4.975,0.004321489058881336
4.9875,0.004192633668884093
5.0,0.004116161428741676
